Session,Hits.Or.Not.PC,Stimulus.Seeking,
1,47.22222222,1.5,
2,52.77777778,3,
3,41.66666667,2.5,
4,44.44444444,2.5,
5,47.22222222,2.5,
6,44.44444444,3,
7,50,2.5,
8,47.22222222,2,
9,55.55555556,1.5,
10,61.11111111,2.5,
11,50,2,
12,47.22222222,3,
13,38.88888889,2.5,
14,41.66666667,2,
15,41.66666667,4,
16,36.11111111,2.5,
17,63.88888889,2,
18,38.88888889,3,
19,52.77777778,2.5,
20,50,1.5,
21,38.88888889,4,
22,41.66666667,2,
23,58.33333333,3,
24,58.33333333,2.5,
25,52.77777778,2.5,
26,52.77777778,2.5,
27,52.77777778,1.5,
28,47.22222222,2.5,
29,38.88888889,3,
30,47.22222222,1,
31,33.33333333,3.5,
32,47.22222222,4,
33,36.11111111,2.5,
34,41.66666667,3,
35,41.66666667,3.5,
36,41.66666667,3,
37,55.55555556,2.5,
38,41.66666667,2,
39,50,2,
40,55.55555556,2,
41,44.44444444,2,
42,69.44444444,1.5,
43,36.11111111,1.5,
44,55.55555556,2.5,
45,63.88888889,3,
46,52.77777778,2.5,
47,61.11111111,2.5,
48,55.55555556,2,
49,41.66666667,1.5,
50,55.55555556,4,
51,52.77777778,3,
52,50,2,
53,58.33333333,2,
54,44.44444444,3,
55,52.77777778,3,
56,47.22222222,2.5,
57,33.33333333,2,
58,41.66666667,2.5,
59,47.22222222,2.5,
60,50,2.5,
61,44.44444444,3,
62,55.55555556,2,
63,50,2.5,
64,41.66666667,2.5,
65,38.88888889,3,
66,36.11111111,2.5,
67,47.22222222,2.5,
68,41.66666667,2,
69,44.44444444,3,
70,41.66666667,1,
71,36.11111111,1.5,
72,55.55555556,4,
73,47.22222222,2,
74,61.11111111,2.5,
75,38.88888889,3.5,
76,52.77777778,2,
77,50,3,
78,50,2,
79,61.11111111,2,
80,50,3,
81,52.77777778,3,
82,47.22222222,2.5,
83,63.88888889,2.5,
84,38.88888889,3,
85,41.66666667,2.5,
86,38.88888889,4,
87,38.88888889,2.5,
88,55.55555556,3.5,
89,52.77777778,2.5,
90,61.11111111,3,
91,61.11111111,2.5,
92,58.33333333,2,
93,55.55555556,2.5,
94,50,2.5,
95,58.33333333,2.5,
96,55.55555556,3.5,
97,55.55555556,2,
98,41.66666667,1.5,
99,52.77777778,2.5,
100,44.44444444,2.5,
101,38.88888889,3.5,
102,30.55555556,4.5,
103,52.77777778,4.5,
104,47.22222222,4,
105,41.66666667,3,
106,36.11111111,2,
107,44.44444444,2,
108,55.55555556,3.5,
109,44.44444444,1.5,
110,52.77777778,2,
111,55.55555556,4.5,
112,38.88888889,3.5,
113,30.55555556,3.5,
114,52.77777778,2.5,
115,55.55555556,2,
116,41.66666667,2,
117,44.44444444,4.5,
118,66.66666667,2.5,
119,30.55555556,2,
120,55.55555556,3,
121,41.66666667,2.5,
122,33.33333333,3,
123,44.44444444,1,
124,58.33333333,3,
125,50,1.5,
126,63.88888889,2,
127,72.22222222,2.5,
128,41.66666667,2.5,
129,61.11111111,1.5,
130,44.44444444,2.5,
131,27.77777778,2.5,
132,55.55555556,2,
133,47.22222222,2,
134,61.11111111,2,
135,47.22222222,3,
136,52.77777778,3,
137,47.22222222,2,
138,55.55555556,2,
139,44.44444444,2.5,
140,55.55555556,2.5,
141,44.44444444,4,
142,47.22222222,4,
143,55.55555556,2.5,
144,38.88888889,2.5,
145,44.44444444,2.5,
146,52.77777778,2,
147,47.22222222,3,
148,41.66666667,2.5,
149,44.44444444,2,
150,41.66666667,3.5,
